gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
40,17335.25,0,17335.25,84.06884455680847,99.06122448979593,48482.85,0,17335.25,0,0,0,0,0,1670,1480,5500,1500,5000
41,17542.5,0,17542.5,82.22239351272583,97.14285714285712,323400.60625,0,17542.5,0,0,0,0,0,1790,1640,5500,1600,5000
42,17472.5,0,17472.5,84.63274598121643,98.57142857142858,401834.99375,0,17472.5,0,0,0,0,0,1800,1640,5400,1600,5000
43,17344.5,0,17344.5,85.2440071105957,99.30612244897958,49610.05625,0,17344.5,0,0,0,0,0,1720,1680,5300,1600,5000
44,17329.5,0,17329.5,83.04784655570984,97.95918367346938,148066.6625,0,17329.5,0,0,0,0,0,1720,1680,5300,1600,5000
45,17176.5,0,17176.5,79.5644257068634,99.10204081632654,151312.39375,0,17176.5,0,0,0,0,0,1760,1720,4900,1700,5000
46,17176.5,0,17176.5,83.17460346221924,97.99999999999999,199476.54375,0,17176.5,0,0,0,0,0,1760,1720,4900,1700,5000
47,16981.5,0,16981.5,92.23725008964539,99.55102040816325,747444.46875,0,16981.5,0,0,0,0,0,1580,1680,4900,1700,5000
48,16981.5,0,16981.5,86.5939199924469,97.95918367346938,99737.075,0,16981.5,0,0,0,0,0,1580,1680,4900,1700,5000
49,16981.5,0,16981.5,81.90296196937561,99.46938775510203,50744.4,0,16981.5,0,0,0,0,0,1600,1720,4900,1700,5000
50,16981.5,0,16981.5,88.81068801879883,98.44897959183673,299687.275,0,16981.5,0,0,0,0,0,1600,1720,4900,1700,5000
51,16981.5,0,16981.5,82.31674981117249,99.55102040816325,499916.58125,0,16981.5,0,0,0,0,0,1600,1720,4900,1700,5000
52,16799.5,0,16799.5,84.27512812614441,97.42857142857142,149361.225,0,16799.5,0,0,0,0,0,1600,1560,4900,1700,5000
53,16799.5,0,16799.5,80.86222243309021,99.42857142857143,300167.80625,0,16799.5,0,0,0,0,0,1600,1560,4900,1700,5000
54,16699.5,0,16699.5,83.85452222824097,94.61224489795917,150810.65,0,16699.5,0,0,0,0,0,1590,1600,4900,1600,5000
55,11337.0,0,11337.0,72.81931066513062,99.51020408163265,125757.3,0,11337.0,0,0,0,0,0,1350,1560,5100,1300,0
56,11146.0,0,11146.0,63.72995686531067,99.30612244897958,298541.65625,0,11146.0,0,0,0,0,0,1370,1560,5000,1300,0
57,11094.0,0,11094.0,64.6470034122467,99.6326530612245,24634.3,0,11094.0,0,0,0,0,0,1370,1520,5000,1300,0
58,11094.0,0,11094.0,67.53092908859253,94.89795918367345,149395.28125,0,11094.0,0,0,0,0,0,1370,1520,5000,1300,0
59,11094.0,0,11094.0,61.40146732330322,96.28571428571429,324674.31875,0,11094.0,0,0,0,0,0,1370,1520,5000,1300,0
60,11022.0,0,11022.0,65.55839848518372,98.81632653061224,24511.75,0,11022.0,0,0,0,0,0,1370,1520,5000,1300,0
61,11022.0,0,11022.0,68.5026752948761,98.0816326530612,101726.69375,0,11022.0,0,0,0,0,0,1370,1520,5000,1300,0
62,10998.0,0,10998.0,65.65669369697571,97.83673469387753,223315.48125,0,10998.0,0,0,0,0,0,1170,1480,5000,1400,0
63,10975.25,0,10975.25,61.31131458282471,98.93877551020408,199615.2375,0,10975.25,0,0,0,0,0,1320,1520,4900,1400,0
64,10975.25,0,10975.25,49.32815432548523,97.38775510204081,199472.025,0,10975.25,0,0,0,0,0,1320,1520,4900,1400,0
65,10975.25,0,10975.25,47.97588920593262,99.59183673469386,247727.50625,0,10975.25,0,0,0,0,0,1320,1520,4900,1400,0
66,10975.25,0,10975.25,48.50455689430237,97.83673469387753,75011.89375,0,10975.25,0,0,0,0,0,1320,1520,4900,1400,0
67,10975.25,0,10975.25,49.94906210899353,97.46938775510203,275386.1875,0,10975.25,0,0,0,0,0,1320,1520,4900,1400,0
68,10975.25,0,10975.25,49.05461621284485,96.6938775510204,196586.025,0,10975.25,0,0,0,0,0,1320,1520,4900,1400,0
69,10975.25,0,10975.25,50.924904584884644,97.75510204081633,223857.625,0,10975.25,0,0,0,0,0,1320,1520,4900,1400,0
70,10897.25,0,10897.25,53.952160596847534,99.0204081632653,73749.19375,0,10897.25,0,0,0,0,0,1320,1520,4800,1400,0
71,10772.25,0,10772.25,49.63046741485596,99.22448979591836,298637.10625,0,10772.25,0,0,0,0,0,1320,1480,4700,1400,0
72,10772.25,0,10772.25,48.2870192527771,96.57142857142858,126278.04375,0,10772.25,0,0,0,0,0,1320,1480,4700,1400,0
73,10772.25,0,10772.25,51.888712644577026,95.26530612244898,76022.48125,0,10772.25,0,0,0,0,0,1320,1480,4700,1400,0
74,10772.25,0,10772.25,49.00228428840637,95.67346938775509,149966.84375,0,10772.25,0,0,0,0,0,1320,1480,4700,1400,0
75,10570.25,0,10570.25,49.037951707839966,95.46938775510206,473620.8375,0,10570.25,0,0,0,0,0,1320,1480,4500,1400,0
76,10580.25,0,10580.25,47.900678873062134,97.75510204081633,299191.7375,0,10580.25,0,0,0,0,0,1310,1520,4500,1400,0
77,10580.25,0,10580.25,50.268898248672485,94.24489795918367,99087.41875,0,10580.25,0,0,0,0,0,1310,1520,4500,1400,0
78,10580.25,0,10580.25,53.93994450569153,95.34693877551021,174243.39375,0,10580.25,0,0,0,0,0,1310,1520,4500,1400,0
79,10630.25,0,10630.25,54.63274621963501,97.51020408163264,173669.825,0,10630.25,0,0,0,0,0,1300,1560,4500,1400,0
80,10552.25,0,10552.25,54.24816679954529,96.24489795918369,274230.6625,0,10552.25,0,0,0,0,0,1280,1600,4500,1300,0
81,10337.25,0,10337.25,50.59295153617859,96.20408163265306,49725.35625,0,10337.25,0,0,0,0,0,1290,1560,4300,1300,0
82,10377.25,0,10377.25,51.02145504951477,94.61224489795919,197292.63125,0,10377.25,0,0,0,0,0,1150,1520,4400,1400,0
83,10377.25,0,10377.25,50.13230872154236,94.89795918367345,150191.09375,0,10377.25,0,0,0,0,0,1150,1520,4400,1400,0
84,10325.25,0,10325.25,50.79993987083435,98.04081632653062,49841.6375,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
85,10325.25,0,10325.25,50.13501954078674,99.26530612244898,325498.725,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
86,10325.25,0,10325.25,48.607463121414185,96.48979591836738,99103.775,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
87,10325.25,0,10325.25,51.833587408065796,99.10204081632654,124342.875,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
88,10325.25,0,10325.25,51.64530348777771,96.0408163265306,99827.6125,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
89,10325.25,0,10325.25,52.1332323551178,94.48979591836734,49870.15,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
90,10325.25,0,10325.25,49.60635256767273,98.12244897959184,151113.9,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
91,10325.25,0,10325.25,54.050487756729126,94.6938775510204,123868.7125,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
92,10325.25,0,10325.25,52.11462354660034,96.08163265306123,24742.8,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
93,10325.25,0,10325.25,46.59061527252197,88.61224489795919,125496.0375,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
94,10325.25,0,10325.25,47.32470369338989,93.6326530612245,247796.19375,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
95,10325.25,0,10325.25,49.52701282501221,99.14285714285714,100922.1,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
96,10325.25,0,10325.25,53.19474220275879,93.55102040816327,123818.05625,0,10325.25,0,0,0,0,0,1160,1480,4400,1400,0
97,10267.25,0,10267.25,47.89588212966919,98.40816326530613,175192.8,0,10267.25,0,0,0,0,0,1160,1520,4300,1400,0
98,10267.25,0,10267.25,55.8915638923645,95.38775510204083,148429.74375,0,10267.25,0,0,0,0,0,1160,1520,4300,1400,0
99,10287.25,0,10287.25,52.0160551071167,96.85714285714286,177483.25625,0,10287.25,0,0,0,0,0,1150,1560,4300,1400,0
100,10287.25,0,10287.25,49.94329071044922,99.26530612244898,349574.08125,0,10287.25,0,0,0,0,0,1150,1560,4300,1400,0
101,10287.25,0,10287.25,47.452760457992554,96.6938775510204,100094.35625,0,10287.25,0,0,0,0,0,1150,1560,4300,1400,0
102,10095.25,0,10095.25,51.416977643966675,89.79591836734696,99732.85,0,10095.25,0,0,0,0,0,1150,1480,4200,1400,0
103,10095.25,0,10095.25,48.823760747909546,97.87755102040818,149988.2875,0,10095.25,0,0,0,0,0,1150,1480,4200,1400,0
104,10435.0,0,10435.0,48.330116987228394,95.02040816326529,26163.96875,0,10435.0,0,0,0,0,0,1300,1680,4100,1700,0
105,10435.0,0,10435.0,48.456820011138916,98.48979591836736,49321.19375,0,10435.0,0,0,0,0,0,1300,1680,4100,1700,0
106,10435.0,0,10435.0,49.8099250793457,95.0612244897959,50004.66875,0,10435.0,0,0,0,0,0,1300,1680,4100,1700,0
107,9873.5,0,9873.5,52.78484344482422,98.81632653061224,233.88125,0,9873.5,0,0,0,0,0,1170,1400,4100,1400,0
108,9873.5,0,9873.5,48.09658670425415,93.46938775510203,223951.9375,0,9873.5,0,0,0,0,0,1170,1400,4100,1400,0
109,9878.5,0,9878.5,54.44985485076904,90.08163265306122,126781.20625,0,9878.5,0,0,0,0,0,1170,1440,4100,1400,0
110,9934.5,0,9934.5,50.03714466094971,96.40816326530611,247262.5875,0,9934.5,0,0,0,0,0,1160,1480,4100,1400,0
111,9889.5,0,9889.5,47.81614637374878,96.73469387755101,50526.2625,0,9889.5,0,0,0,0,0,1160,1560,4000,1400,0
