gen,phase,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat,S12_Block
20,Global,73752.5,0,73752.5,5.383873701095581,0,0,0,73752.5,0,0,0,0,0,2460,1600,6900,800,0,60000
21,Global,73646.5,0,73646.5,4.462301731109619,0,0,0,73646.5,0,0,0,0,0,2470,1600,6800,800,0,60000
22,Global,73387.25,0,73387.25,4.947539567947388,0,0,0,73387.25,0,0,0,0,0,2280,1560,6600,900,0,60000
23,Global,73184.75,0,73184.75,4.589970350265503,0,0,0,73184.75,0,0,0,0,0,2170,1560,6400,900,0,60000
24,Global,72549.75,0,72549.75,4.166507720947266,0,0,0,72549.75,0,0,0,0,0,2170,1520,6000,800,0,60000
25,Global,72369.75,0,72369.75,4.616973876953125,0,0,0,72369.75,0,0,0,0,0,2030,1480,6000,800,0,60000
26,Global,72273.25,0,72273.25,4.4491682052612305,0,0,0,72273.25,0,0,0,0,0,1750,1480,6000,800,0,60000
27,Global,72168.25,0,72168.25,4.7852044105529785,0,0,0,72168.25,0,0,0,0,0,1790,1440,6000,800,0,60000
28,Global,72065.25,0,72065.25,5.289857625961304,0,0,0,72065.25,0,0,0,0,0,1630,1480,5900,800,0,60000
29,Global,71945.25,0,71945.25,4.157736301422119,0,0,0,71945.25,0,0,0,0,0,1630,1440,5800,800,0,60000
30,Global,71758.0,0,71758.0,4.814062595367432,0,0,0,71758.0,0,0,0,0,0,1460,1480,5800,800,0,60000
31,Global,71758.0,0,71758.0,4.880044460296631,0,0,0,71758.0,0,0,0,0,0,1460,1480,5800,800,0,60000
32,Global,71738.0,0,71738.0,4.046149015426636,0,0,0,71738.0,0,0,0,0,0,1450,1480,5800,800,0,60000
33,Global,71738.0,0,71738.0,5.158065557479858,0,0,0,71738.0,0,0,0,0,0,1450,1480,5800,800,0,60000
34,Global,71738.0,0,71738.0,4.962702035903931,0,0,0,71738.0,0,0,0,0,0,1450,1480,5800,800,0,60000
35,Global,71570.0,0,71570.0,4.79850435256958,0,0,0,71570.0,0,0,0,0,0,1440,1480,5700,800,0,60000
36,Global,71570.0,0,71570.0,4.459060907363892,0,0,0,71570.0,0,0,0,0,0,1440,1480,5700,800,0,60000
37,Global,71520.0,0,71520.0,4.610454082489014,0,0,0,71520.0,0,0,0,0,0,1410,1480,5700,800,0,60000
38,Global,71410.0,0,71410.0,3.657301425933838,0,0,0,71410.0,0,0,0,0,0,1420,1480,5600,800,0,60000
39,Global,71385.0,0,71385.0,5.031327962875366,0,0,0,71385.0,0,0,0,0,0,1410,1480,5600,800,0,60000
40,Global,71355.0,0,71355.0,4.519587278366089,0,0,0,71355.0,0,0,0,0,0,1400,1480,5600,800,0,60000
41,Global,71355.0,0,71355.0,8.856889724731445,0,0,0,71355.0,0,0,0,0,0,1400,1480,5600,800,0,60000
42,Global,71355.0,0,71355.0,9.521262407302856,0,0,0,71355.0,0,0,0,0,0,1400,1480,5600,800,0,60000
43,Global,71355.0,0,71355.0,6.585494518280029,0,0,0,71355.0,0,0,0,0,0,1400,1480,5600,800,0,60000
44,Global,71355.0,0,71355.0,5.650743722915649,0,0,0,71355.0,0,0,0,0,0,1400,1480,5600,800,0,60000
45,Global,71345.0,0,71345.0,5.022869348526001,0,0,0,71345.0,0,0,0,0,0,1390,1480,5600,800,0,60000
46,Global,71345.0,0,71345.0,6.553258895874023,0,0,0,71345.0,0,0,0,0,0,1390,1480,5600,800,0,60000
47,Global,71260.0,0,71260.0,6.376076936721802,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
48,Global,71260.0,0,71260.0,5.266556024551392,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
49,Global,71260.0,0,71260.0,5.068930625915527,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
50,Global,71260.0,0,71260.0,4.7766196727752686,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
51,Global,71260.0,0,71260.0,6.320459842681885,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
52,Global,71260.0,0,71260.0,5.332598447799683,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
53,Global,71260.0,0,71260.0,5.971050262451172,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
54,Global,71260.0,0,71260.0,6.262716293334961,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
55,Global,71260.0,0,71260.0,4.6797850131988525,0,0,0,71260.0,0,0,0,0,0,1390,1480,5500,800,0,60000
56,Global,71250.0,0,71250.0,6.078398704528809,0,0,0,71250.0,0,0,0,0,0,1380,1480,5500,800,0,60000
57,Global,71250.0,0,71250.0,5.681057691574097,0,0,0,71250.0,0,0,0,0,0,1380,1480,5500,800,0,60000
58,Global,71250.0,0,71250.0,6.386204481124878,0,0,0,71250.0,0,0,0,0,0,1380,1480,5500,800,0,60000
59,Global,71250.0,0,71250.0,5.2192442417144775,0,0,0,71250.0,0,0,0,0,0,1380,1480,5500,800,0,60000
60,Global,71250.0,0,71250.0,6.244816541671753,0,0,0,71250.0,0,0,0,0,0,1380,1480,5500,800,0,60000
61,Global,71240.0,0,71240.0,5.405475854873657,0,0,0,71240.0,0,0,0,0,0,1380,1480,5500,800,0,60000
62,Global,61579.5,0,61579.5,5.328699350357056,0,0,0,61579.5,0,0,0,0,0,1390,1480,5600,800,0,50000
63,Global,61192.5,0,61192.5,5.412767171859741,0,0,0,61192.5,0,0,0,0,0,1300,1480,5500,800,0,50000
64,Global,61192.5,0,61192.5,4.413900136947632,0,0,0,61192.5,0,0,0,0,0,1300,1480,5500,800,0,50000
65,Global,61090.5,0,61090.5,6.118264675140381,0,0,0,61090.5,0,0,0,0,0,1410,1400,5400,800,0,50000
66,Global,61033.5,0,61033.5,5.261766195297241,0,0,0,61033.5,0,0,0,0,0,1420,1400,5400,800,0,50000
67,Global,61033.5,0,61033.5,6.1450018882751465,0,0,0,61033.5,0,0,0,0,0,1420,1400,5400,800,0,50000
68,Global,60903.5,0,60903.5,6.066603183746338,0,0,0,60903.5,0,0,0,0,0,1330,1320,5400,800,0,50000
69,Global,60903.5,0,60903.5,4.586268186569214,0,0,0,60903.5,0,0,0,0,0,1330,1320,5400,800,0,50000
70,Global,60903.5,0,60903.5,4.631997108459473,0,0,0,60903.5,0,0,0,0,0,1330,1320,5400,800,0,50000
71,Global,60903.5,0,60903.5,6.403177261352539,0,0,0,60903.5,0,0,0,0,0,1330,1320,5400,800,0,50000
72,Global,60903.5,0,60903.5,4.356358766555786,0,0,0,60903.5,0,0,0,0,0,1330,1320,5400,800,0,50000
73,Global,60903.5,0,60903.5,5.749511003494263,0,0,0,60903.5,0,0,0,0,0,1330,1320,5400,800,0,50000
74,Global,60883.5,0,60883.5,6.036851167678833,0,0,0,60883.5,0,0,0,0,0,1310,1320,5400,800,0,50000
75,Global,60793.5,0,60793.5,5.139803647994995,0,0,0,60793.5,0,0,0,0,0,1320,1320,5300,800,0,50000
76,Global,60793.5,0,60793.5,4.592939138412476,0,0,0,60793.5,0,0,0,0,0,1320,1320,5300,800,0,50000
77,Global,60793.5,0,60793.5,4.902616500854492,0,0,0,60793.5,0,0,0,0,0,1320,1320,5300,800,0,50000
78,Global,60783.5,0,60783.5,6.0141682624816895,0,0,0,60783.5,0,0,0,0,0,1310,1320,5300,800,0,50000
79,Global,60783.5,0,60783.5,5.126195192337036,0,0,0,60783.5,0,0,0,0,0,1310,1320,5300,800,0,50000
80,Global,60783.5,0,60783.5,5.684726238250732,0,0,0,60783.5,0,0,0,0,0,1310,1320,5300,800,0,50000
81,Global,60783.5,0,60783.5,5.602816343307495,0,0,0,60783.5,0,0,0,0,0,1310,1320,5300,800,0,50000
82,Global,60783.5,0,60783.5,5.726718425750732,0,0,0,60783.5,0,0,0,0,0,1310,1320,5300,800,0,50000
83,Global,60783.5,0,60783.5,5.5124146938323975,0,0,0,60783.5,0,0,0,0,0,1310,1320,5300,800,0,50000
84,Global,60783.5,0,60783.5,5.498690366744995,0,0,0,60783.5,0,0,0,0,0,1310,1320,5300,800,0,50000
85,Global,60698.5,0,60698.5,5.797560214996338,0,0,0,60698.5,0,0,0,0,0,1250,1320,5300,800,0,50000
86,Global,60698.5,0,60698.5,5.122349739074707,0,0,0,60698.5,0,0,0,0,0,1250,1320,5300,800,0,50000
87,Global,60698.5,0,60698.5,7.279898405075073,0,0,0,60698.5,0,0,0,0,0,1250,1320,5300,800,0,50000
88,Global,60698.5,0,60698.5,5.708276987075806,0,0,0,60698.5,0,0,0,0,0,1250,1320,5300,800,0,50000
89,Global,60698.5,0,60698.5,5.536290645599365,0,0,0,60698.5,0,0,0,0,0,1250,1320,5300,800,0,50000
90,Global,60668.5,0,60668.5,5.579638242721558,0,0,0,60668.5,0,0,0,0,0,1220,1320,5300,800,0,50000
91,Global,60668.5,0,60668.5,5.911749839782715,0,0,0,60668.5,0,0,0,0,0,1220,1320,5300,800,0,50000
92,Global,60668.5,0,60668.5,4.864979982376099,0,0,0,60668.5,0,0,0,0,0,1220,1320,5300,800,0,50000
93,Global,60658.5,0,60658.5,5.067370414733887,0,0,0,60658.5,0,0,0,0,0,1210,1320,5300,800,0,50000
94,Global,60658.5,0,60658.5,5.340724468231201,0,0,0,60658.5,0,0,0,0,0,1210,1320,5300,800,0,50000
95,Global,60658.5,0,60658.5,7.3290581703186035,0,0,0,60658.5,0,0,0,0,0,1210,1320,5300,800,0,50000
96,Global,60658.5,0,60658.5,4.1218461990356445,0,0,0,60658.5,0,0,0,0,0,1210,1320,5300,800,0,50000
97,Global,60658.5,0,60658.5,4.411910772323608,0,0,0,60658.5,0,0,0,0,0,1210,1320,5300,800,0,50000
98,Global,60653.5,0,60653.5,6.363010406494141,0,0,0,60653.5,0,0,0,0,0,1250,1320,5300,800,0,50000
99,Global,60653.5,0,60653.5,6.005837678909302,0,0,0,60653.5,0,0,0,0,0,1250,1320,5300,800,0,50000
100,Global,60653.5,0,60653.5,4.240551948547363,0,0,0,60653.5,0,0,0,0,0,1250,1320,5300,800,0,50000
