gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
40,15460.75,0,15460.75,55.18319606781006,98.53658536585365,25069831.7625,0,15460.75,0,0,0,0,0,1460,1600,4800,600,5000
41,15460.75,0,15460.75,53.331170082092285,96.42276422764228,25463253.225,0,15460.75,0,0,0,0,0,1460,1600,4800,600,5000
42,15330.75,0,15330.75,47.02508068084717,97.88617886178862,26057995.825,0,15330.75,0,0,0,0,0,1210,1520,4800,700,5000
43,15275.75,0,15275.75,46.46369957923889,98.29268292682926,24613403.4125,0,15275.75,0,0,0,0,0,1010,1440,4800,900,5000
44,15103.75,0,15103.75,54.93398666381836,98.82113821138212,26114046.9125,0,15103.75,0,0,0,0,0,990,1440,4800,700,5000
45,15103.75,0,15103.75,53.806795597076416,99.02439024390245,22616760.85,0,15103.75,0,0,0,0,0,990,1440,4800,700,5000
46,15103.75,0,15103.75,61.313050270080566,99.14634146341464,25022466.7625,0,15103.75,0,0,0,0,0,990,1440,4800,700,5000
47,15103.75,0,15103.75,53.48479700088501,99.39024390243902,23232376.3375,0,15103.75,0,0,0,0,0,990,1440,4800,700,5000
48,15103.75,0,15103.75,84.47403597831726,99.02439024390245,24622449.95,0,15103.75,0,0,0,0,0,990,1440,4800,700,5000
49,15070.75,0,15070.75,84.64894199371338,98.65853658536582,25378326.325,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
50,15070.75,0,15070.75,84.11503195762634,98.739837398374,23620546.3375,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
51,15070.75,0,15070.75,67.59007453918457,96.50406504065042,23321436.2625,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
52,15070.75,0,15070.75,92.66633749008179,98.00813008130082,20522240.9,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
53,15070.75,0,15070.75,105.08454513549805,95.04065040650407,22822180.1375,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
54,15070.75,0,15070.75,74.37699842453003,97.88617886178862,20428830.95,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
55,15070.75,0,15070.75,69.27117085456848,98.90243902439025,20715210.6125,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
56,15070.75,0,15070.75,75.09844303131104,98.2520325203252,22312404.025,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
57,15070.75,0,15070.75,74.01386427879333,95.77235772357724,19962157.9125,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
58,15070.75,0,15070.75,62.976784467697144,93.90243902439025,19409832.9125,0,15070.75,0,0,0,0,0,980,1440,4800,700,5000
