gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,25089988.0,25,89988.0,4.859960079193115,90.0,22441163.354166668,25,89988.0,0,10,15,0,0,3970,2240,9200,1600,70000
2,10109128.5,10,109128.5,5.492544889450073,61.193415637860085,10400786.833333334,10,109128.5,0,10,0,0,0,3890,2000,8700,1800,90000
3,5103349.5,5,103349.5,5.413408994674683,83.00411522633745,4573357.375,5,103349.5,0,5,0,0,0,3750,1960,8300,1900,85000
