gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
41,18717.0,0,18717.0,18.141920566558838,93.37448559670779,7.8625,0,18717.0,0,0,0,0,0,2360,1720,5900,1400,5000
42,18797.0,0,18797.0,18.64517378807068,96.17283950617283,13.775,0,18797.0,0,0,0,0,0,2500,1840,5700,1500,5000
43,18797.0,0,18797.0,17.66892099380493,92.71604938271605,0.0,0,18797.0,0,0,0,0,0,2500,1840,5700,1500,5000
44,13532.5,0,13532.5,18.409754037857056,99.67078189300412,5.85,0,13532.5,0,0,0,0,0,2500,1840,5600,1300,0
45,23375.25,0,23375.25,18.21609139442444,98.88888888888889,236.2375,0,23375.25,0,0,0,0,0,2470,1920,5700,1100,10000
46,23375.25,0,23375.25,17.933805227279663,97.6954732510288,253.3125,0,23375.25,0,0,0,0,0,2470,1920,5700,1100,10000
47,23104.75,0,23104.75,17.990172147750854,97.57201646090535,30.65,0,23104.75,0,0,0,0,0,2300,1840,5600,1100,10000
48,23104.75,0,23104.75,16.83110475540161,90.37037037037037,11.0,0,23104.75,0,0,0,0,0,2300,1840,5600,1100,10000
49,23104.75,0,23104.75,15.547704935073853,97.4074074074074,10.0875,0,23104.75,0,0,0,0,0,2300,1840,5600,1100,10000
50,23129.5,0,23129.5,15.374007940292358,92.96296296296296,234.0875,0,23129.5,0,0,0,0,0,2430,1840,5400,1200,10000
51,22825.5,0,22825.5,15.528619527816772,90.24691358024691,23.625,0,22825.5,0,0,0,0,0,2280,1800,5400,1200,10000
52,19026.25,0,19026.25,14.706005334854126,97.40740740740742,253.2625,0,19026.25,0,0,0,0,0,2060,1760,6400,1500,5000
53,19026.25,0,19026.25,15.667591571807861,99.17695473251028,0.0,0,19026.25,0,0,0,0,0,2060,1760,6400,1500,5000
54,18950.5,0,18950.5,14.860040187835693,99.1358024691358,12.4625,0,18950.5,0,0,0,0,0,2010,1760,6300,1600,5000
55,18950.5,0,18950.5,14.89423680305481,97.90123456790123,19.55,0,18950.5,0,0,0,0,0,2010,1760,6300,1600,5000
56,18950.5,0,18950.5,14.908592939376831,92.34567901234566,237.8,0,18950.5,0,0,0,0,0,2010,1760,6300,1600,5000
57,18879.75,0,18879.75,15.430782556533813,93.37448559670783,0.5875,0,18879.75,0,0,0,0,0,2000,1720,6300,1600,5000
58,13495.0,0,13495.0,14.957065343856812,96.5843621399177,13.8875,0,13495.0,0,0,0,0,0,1770,1680,6600,1400,0
59,13495.0,0,13495.0,15.141522884368896,94.07407407407409,3.5,0,13495.0,0,0,0,0,0,1770,1680,6600,1400,0
60,18556.0,0,18556.0,15.373250722885132,95.96707818930041,9.7,0,18556.0,0,0,0,0,0,1660,1720,6600,1500,5000
61,18556.0,0,18556.0,14.876439094543457,95.18518518518519,16.55,0,18556.0,0,0,0,0,0,1660,1720,6600,1500,5000
62,18556.0,0,18556.0,15.396149635314941,93.66255144032921,11.4,0,18556.0,0,0,0,0,0,1660,1720,6600,1500,5000
